term,type,iri,label,definition,dpvtype,subclassof,hasbroader,scopenote,created,modified,vocab,namespace
City,class,https://w3id.org/dpv#City,City,A region consisting of urban population and commerce,,https://w3id.org/dpv#Region,https://w3id.org/dpv#Region,,2022-10-22,2025-05-04,dpv,https://w3id.org/dpv
CloudLocation,class,https://w3id.org/dpv#CloudLocation,Cloud Location,Location that is in the 'cloud' i.e. a logical location operated over the internet,https://w3id.org/dpv#Location,,https://w3id.org/dpv#RemoteLocation,,2022-06-15,2020-10-05,dpv,https://w3id.org/dpv
Country,class,https://w3id.org/dpv#Country,Country,A political entity indicative of a sovereign or non-sovereign territorial state comprising of distinct geographical areas,,https://w3id.org/dpv#Jurisdiction,https://w3id.org/dpv#Jurisdiction,"The definition of country is not intended for political interpretation. DPVCG welcomes alternate definitions based in existing sources with global scope, such as UN or ISO.",2022-01-19,2025-05-04,dpv,https://w3id.org/dpv
DecentralisedLocations,class,https://w3id.org/dpv#DecentralisedLocations,Decentralised Locations,Location that is spread across multiple separate areas with no distinction between their importance,https://w3id.org/dpv#LocationFixture,,https://w3id.org/dpv#LocationFixture,,2022-06-15,2020-10-05,dpv,https://w3id.org/dpv
EconomicUnion,class,https://w3id.org/dpv#EconomicUnion,Economic Union,A political union of two or more countries based on economic or trade agreements,,https://w3id.org/dpv#Jurisdiction,https://w3id.org/dpv#Jurisdiction,,2022-01-19,2025-05-04,dpv,https://w3id.org/dpv
FederatedLocations,class,https://w3id.org/dpv#FederatedLocations,Federated Locations,Location that is federated across multiple separate areas with designation of a primary or central location,https://w3id.org/dpv#LocationFixture,,https://w3id.org/dpv#LocationFixture,,2022-06-15,2020-10-05,dpv,https://w3id.org/dpv
FixedLocation,class,https://w3id.org/dpv#FixedLocation,Fixed Location,Location that is fixed i.e. known to occur at a specific place,https://w3id.org/dpv#LocationFixture,,https://w3id.org/dpv#LocationFixture,,2022-06-15,2020-10-05,dpv,https://w3id.org/dpv
FixedMultipleLocations,class,https://w3id.org/dpv#FixedMultipleLocations,Fixed Multiple Locations,Location that is fixed with multiple places e.g. multiple cities,https://w3id.org/dpv#LocationFixture,,https://w3id.org/dpv#FixedLocation,,2022-06-15,2020-10-05,dpv,https://w3id.org/dpv
FixedSingularLocation,class,https://w3id.org/dpv#FixedSingularLocation,Fixed Singular Location,Location that is fixed at a specific place e.g. a city,https://w3id.org/dpv#LocationFixture,,https://w3id.org/dpv#FixedLocation,,2022-06-15,2020-10-05,dpv,https://w3id.org/dpv
HybridPublicPrivateSpace,class,https://w3id.org/dpv#HybridPublicPrivateSpace,Hybrid Public Private Space,A space that is a hybrid space i.e it has both public and private components - such as by having part of it be a private space or which is operated privately,https://w3id.org/dpv#Location,,https://w3id.org/dpv#PrivateSpace;https://w3id.org/dpv#PublicSpace,,2025-04-07,,dpv,https://w3id.org/dpv
