"Term","Label","Description","ParentTerm","RelatedTerms","Relation","Comment","Source","Created","Modified","Status","Contributors","Resolution","","","","","","","","","","","","",""
"DataSubject","Data Subject","The individual (or category of individuals) whose personal data is being processed","dpv:LegalEntity","","","The term 'data subject' is specific to the GDPR, but is functionally equivalent to the term 'individual' and the ISO/IEC term 'PII Principle'.","(GDPR Art.4-1g,https://eur-lex.europa.eu/eli/reg/2016/679/art_4/par_1/oj)","2019-04-05","2020-11-04","accepted","Axel Polleres, Javier Fernández","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","",""
"Child","Child","A 'child' is a natural legal person who is below a certain legal age depending on the legal jurisdiction.","dpv:DataSubject","","","The legality of age defining a child varies by jurisdiction. In addition, 'child' is distinct from a 'minor'. For example, the legal age drinking alcohol can be 21, which makes a person of age 20 a 'minor' in this context. In other cases, 'minor' and 'child' are used interchangeably to refer to a person below some legally defined age.","","2020-11-25","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2020/11/25-dpvcg-minutes.html","","","","","","","","","","","","",""
"VulnerableDataSubject","Vulnerable Data Subject","Data Subjects which should be considered 'vulnerable' and therefore would require additional measures and safeguards","dpv:DataSubject","","","","","2020-11-04","","accepted","Georg Krog, Paul Ryan, Harshvardhan Pandit","https://www.w3.org/community/dpvcg/wiki/Workshop20201104","","","","","","","","","","","","",""
"NatualPerson","NatualPerson","PROPOSED TBD concept for parent concept for child/adult and data subject","dpv:LegalEntity","","","","","","","proposed","","","","","","","","","","","","","","",""
"Adult","Adult","A data subject that is not a child i.e. has attained some legally specified age of adulthood","dpv:DataSubject","","","","","","","proposed","Georg Krog","","","","","","","","","","","","","",""
"Patient","Patient","relevance: medical, health domains and laws","dpv:DataSubject","","","","","","","proposed","","","","","","","","","","","","","","",""
"Employee","Employee","relevance: employment laws","dpv:DataSubject","","","","","","","proposed","","","","","","","","","","","","","","",""
"Student","Student","relevance: education laws","dpv:DataSubject","","","","","","","proposed","","","","","","","","","","","","","","",""
"Citizen","Citizen","TBD relevance: governance and immigration laws","dpv:DataSubject","tbd","","","","","","proposed","","","","","","","","","","","","","","",""
"NonCitizen","NonCitizen","relevance: governance and immigration laws","dpv:DataSubject","tbd","","","","","","proposed","","","","","","","","","","","","","","",""
"Immigrant","Immigrant","relevance: governance and immigration laws","dpv:DataSubject","tbd","","","","","","proposed","","","","","","","","","","","","","","",""
"Tourist","Tourist","relevance: governance and immigration laws","dpv:DataSubject","","","","","","","proposed","","","","","","","","","","","","","","",""
"Customer","Customer","relevance: consumer, competition, and service laws","dpv:LegalEntity","","","","","","","proposed","","","","","","","","","","","","","","",""
"Consumer","Consumer","consumer is a subset of customer ???","dpv:DataSubject","","","","","","","proposed","","","","","","","","","","","","","","",""
"User","User","relevance: common use-case ;; possible confusion between user vs consumer","dpv:DataSubject","","","","","","","proposed","","","","","","","","","","","","","","",""
"JobApplicant","JobApplicant","could go in HR / Management extension alongside purposes etc. ?","dpv:DataSubject","","","","","","","proposed","","","","","","","","","","","","","","",""
"Visitor","Visitor","relevance: common use-case ;; distinct from user e.g. user of a system ","dpv:DataSubject","","","","","","","proposed","","","","","","","","","","","","","","",""
"Member","Member","distinct from customer, consumer, user, etc. by virtue of participation and rules governing memberships","dpv:LegalEntity","","","","","","","proposed","","","","","","","","","","","","","","",""
"Applicant","Applicant","possible duplicate of JobApplicant without further distinction","dpv:LegalEntity","","","","","","","proposed","","","","","","","","","","","","","","",""
"Trainees","Trainees","could go in HR / Management extension alongside purposes etc. ?","dpv:LegalEntity","","","","","","","proposed","","","","","","","","","","","","","","",""
"Subscriber","Subscriber","possible similarity with customer and consumer ;; could be needed to tie with subscription services?","dpv:DataSubject","","","","","","","proposed","","","","","","","","","","","","","","",""
"ServiceUsers","ServiceUsers","possible duplicate of user without further distinction","dpv:DataSubject","","","","","","","proposed","","","","","","","","","","","","","","",""
"WebsiteVisitors","WebsiteVisitors","possible confusion between visitor vs user e.g. website visitor / service user","dpv:DataSubject","","","","","","","proposed","","","","","","","","","","","","","","",""
"Clients","Clients","possible duplicate of customer or consumer depending on context","dpv:LegalEntity","","","","","","","proposed","","","","","","","","","","","","","","",""
