"Term","Label","Description","ParentTerm","RelatedTerms","Relation","Comment","Source","Created","Modified","Status","Contributors","Resolution","","","","","","","","","","","","",""
"Location","Location","A location is a position, site, or area where something is located","dpv:Concept","","","Location may be geographic, physical, or virtual.","","2022-01-19","","accepted","Harshvardhan J. Pandit, Georg P Krog","https://www.w3.org/community/dpvcg/wiki/MinutesOfMeeting_20220119","","","","","","","","","","","","",""
"Country","Country","A political entity indicative of a sovereign or non-sovereign territorial state comprising of distinct geographical areas","dpv:Location","","","The definition of country is not intended for political interpretation. DPVCG welcomes alternate definitions based in existing sources with global scope, such as UN or ISO.","","2022-01-19","","accepted","Harshvardhan J. Pandit, Georg P Krog","https://www.w3.org/community/dpvcg/wiki/MinutesOfMeeting_20220119","","","","","","","","","","","","",""
"SupraNationalUnion","SupraNationalUnion","A political union of two or more countries with an establishment of common authority","dpv:Location","","","","","2022-01-19","","accepted","Harshvardhan J. Pandit","https://www.w3.org/community/dpvcg/wiki/MinutesOfMeeting_20220119","","","","","","","","","","","","",""
"EconomicUnion","EconomicUnion","A political union of two or more countries based on economic or trade agreements","dpv:Location","","","","","2022-01-19","","accepted","Harshvardhan J. Pandit","https://www.w3.org/community/dpvcg/wiki/MinutesOfMeeting_20220119","","","","","","","","","","","","",""
"Region","Region","A region is an area or site that is considered a location","dpv:Location","","","","","2022-01-19","","accepted","Harshvardhan J. Pandit","https://www.w3.org/community/dpvcg/wiki/MinutesOfMeeting_20220119","","","","","","","","","","","","",""
"Law","Law","A law is a set of rules created by government or authorities","dpv:Concept","","","","","2022-01-19","","accepted","Harshvardhan J. Pandit","https://www.w3.org/community/dpvcg/wiki/MinutesOfMeeting_20220119","","","","","","","","","","","","",""
"ThirdCountry","Third Country","Represents a country outside applicable or compatible jurisdiction as outlined in law","dpv:Country","","","","","2022-02-09","","accepted","Harshvardhan J. Pandit","https://www.w3.org/community/dpvcg/wiki/MinutesOfMeeting_20220119","","","","","","","","","","","","",""
"LocationFixture","Location Fixture","The fixture of location refers to whether the location is fixed ","sc__dpv:Concept","","","","","2022-06-15","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","",""
"FixedLocation","Fixed Location","Location that is fixed i.e. known to occur at a specific place","dpv:LocationFixture","","","","","2022-06-15","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","",""
"FixedSingularLocation","Fixed Singular Location","Location that is fixed at a specific place e.g. a city","dpv:FixedLocation","","","","","2022-06-15","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","",""
"FixedMultipleLocations","Fixed Multiple Locations","Location that is fixed with multiple places e.g. multiple cities","dpv:FixedLocation","","","","","2022-06-15","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","",""
"VariableLocation","Variable Location","Location that is known but is variable e.g. somewhere within a given area","dpv:LocationFixture","","","","","2022-06-15","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","",""
"FederatedLocations","Federated Locations","Location that is federated across multiple separate areas with designation of a primary or central location","dpv:LocationFixture","","","","","2022-06-15","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","",""
"DecentralisedLocations","Decentralised Locations","Location that is spread across multiple separate areas with no distinction between their importance","dpv:LocationFixture","","","","","2022-06-15","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","",""
"RandomLocation","Random Location","Location that is random or unknown","dpv:LocationFixture","","","","","2022-06-15","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","",""
"LocationLocality","Location Locality","Locality refers to whether the specified location is local within some context, e.g. for the user","sc__dpv:Concept","","","","","2022-06-15","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","",""
"LocalLocation","Local Location","Location is local","dpv:LocationLocality","","","","","2022-06-15","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","",""
"RemoteLocation","Remote Location","Location is remote i.e. not local","dpv:LocationLocality","","","","","2022-06-15","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","",""
"WithinDevice","Within Device","Location is local and entirely within a device or environment","dpv:LocalLocation","","","","","2022-06-15","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","",""
"CloudLocation","Cloud Location","Location that is in the 'cloud' i.e. a logical location operated over the internet","dpv:RemoteLocation","","","","","2022-06-15","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/06/15-dpvcg-minutes.html","","","","","","","","","","","","",""
