"Term","Label","Description","domain","range","ParentProperty","RelatedTerms","Relation","Comment","Source","CreationDate","Modified","Status","Contributors","Resolution","","","","","","","","","","","","",""
"hasContext","has context","Indicates a purpose is restricted to the specified context(s)","dpv:Concept","dpv:Context","dpv:Relation","","","","","2019-04-05","","accepted","","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","",""
"isImplementedByEntity","is implemented by entity","Indicates implementation details such as entities or agents","dpv:Concept","dpv:Entity","dpv:Relation","","","The use of 'entity' is inclusive of entities (e.g. Data Processor) as well as 'agent' (e.g. DPO). For indicating technological implementation, the property isImplementedByTechnology should be used.","","2019-05-07","2022-01-26","modified","Axel Polleres, Harshvardhan J. Pandit, Beatriz Esteves, Paul Ryan, Julian Flake","https://www.w3.org/2022/01/26-dpvcg-minutes.html","","","","","","","","","","","","",""
"isImplementedUsingTechnology","is implemented using technology","Indicates implementation details such as technologies or processes","dpv:Concept","dpv:Technology","dpv:Relation","","","The term 'technology' is inclusive of technologies, processes, and methods.","","2022-01-26","","accepted","Beatriz Esteves, Harshvardhan J. Pandit, Paul Ryan, Julian Flake","https://www.w3.org/2022/01/26-dpvcg-minutes.html","","","","","","","","","","","","",""
"hasAlgorithmicLogic","has algorithmic logic","Indicates the logic used in processing such as for automated decision making","dpv:Concept","dpv:AlgorithmicLogic","dpv:Relation","","","","","2020-11-04","","accepted","Georg P. Krog, Paul Ryan, Harshvardhan J. Pandit","https://www.w3.org/community/dpvcg/wiki/Workshop20201104","","","","","","","","","","","","",""
"hasHumanInvolvement","has human involvement","Indicates Involvement of humans in processing such as within automated decision making process","dpv:Concept","dpv:HumanInvolvement","dpv:Relation","","","Human involvement is also relevant to 'human in the loop' ","","2020-11-04","","accepted","Georg P. Krog, Paul Ryan, Harshvardhan J. Pandit","https://www.w3.org/community/dpvcg/wiki/Workshop20201104","","","","","","","","","","","","",""
"hasDuration","has duration","Indicates information about duration","dpv:Concept","dpv:Duration","dpv:Relation","","","","(SPECIAL Project,https://specialprivacy.ercim.eu/)","2019-04-05","","accepted","Axel Polleres, Rob Brennan, Harshvardhan J. Pandit, Mark Lizar","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","",""
"hasIdentifier","has identifier","Indicates an identifier associated for identification or reference","dpv:Concept","dpv:Concept","dpv:Relation","","","","","2020-11-25","","accepted","Harshvardhan J.Pandit, Georg P Krog, Paul Ryan, Beatriz Esteves","https://www.w3.org/2020/11/25-dpvcg-minutes.html","","","","","","","","","","","","",""
"hasFrequency","has frequency","Indicates the frequency with which something takes place","dpv:Concept","dpv:Frequency","dpv:Relation","","","","","2022-02-16","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2022/02/23-dpvcg-minutes.html","","","","","","","","","","","","",""
"isBefore","is before","Indicates the specified concepts is 'before' this concept in some context","dpv:Concept","dpv:Concept","dpv:Relation","","","","","2022-03-02","","accepted","Georg P. Krog, Harshvardhan J. Pandit, Julian Flake","https://www.w3.org/2022/03/02-dpvcg-minutes.html","","","","","","","","","","","","",""
"isAfter","is after","Indicates the specified concepts is 'after' this concept in some context","dpv:Concept","dpv:Concept","dpv:Relation","","","","","2022-03-02","","accepted","Georg P. Krog, Harshvardhan J. Pandit, Julian Flake","https://www.w3.org/2022/03/02-dpvcg-minutes.html","","","","","","","","","","","","",""
"hasStatus","has status","Indicates the status of specified concept","dpv:Concept","dpv:Status","dpv:Relation","","","","","2022-05-18","","accepted","Harshvardhan J. Pandit","","","","","","","","","","","","","",""
"hasComplianceStatus","has compliance status","Indicates the status of compliance of specified concept","dpv:Concept","dpv:ComplianceStatus","dpv:hasStatus","","","","","2022-05-18","","accepted","Harshvardhan J. Pandit","","","","","","","","","","","","","",""
"hasActivityStatus","has activity status","Indicates the status of activity of specified concept","dpv:Concept","dpv:ActivityStatus","dpv:hasStatus","","","","","2022-05-18","","accepted","Harshvardhan J. Pandit","","","","","","","","","","","","","",""
"hasScope","has scope","Indicates the scope of specified concept","dpv:Concept","dpv:Scope","dpv:Relation","","","","","","","proposed","Harshvardhan J. Pandit","","","","","","","","","","","","","",""
"hasJustification","","","dpv:Concept","dpv:Justification","dpv:Relation","","","","","","","proposed","Harshvardhan J. Pandit","","","","","","","","","","","","","",""
