Term,Label,Definition,ParentTerm,ParentType,Value,RelatedTerms,Relation,Usage,Source,Created,Modified,Status,Contributors,Resolution
LifecycleStage,Lifecycle Stage,A stage in the lifecycle of AI,tech:LifecycleStage,sc,,,,,,2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
InceptionStage,Inception Stage,The stage in the lifecycle where inception regarding AI occurs and one or more stakeholders decide to turn an idea into a tangible system,,ai:LifecycleStage,,,,,ISO/IEC 22989:2022,2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
DesignStage,Design Stage,The stage in the lifecycle where designs are created for the AI system,,ai:LifecycleStage,,,,,ISO/IEC 22989:2022,2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
DevelopmentStage,Development Stage,"The stage in the lifecycle where the development and creation of the system occurs, signalling upon completion that it is ready for verification and validation",,ai:LifecycleStage,,,,,ISO/IEC 22989:2022,2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
VerificationStage,Verification Stage,The stage in the lifecycle where the AI system is being verified to satisfy requirements and meet objectives,,ai:LifecycleStage,,,,,ISO/IEC 22989:2022,2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
ValidationStage,Validation Stage,The stage in the lifecycle where the AI system is validated for requirements and objectives for an intended use or application,,ai:LifecycleStage,,,,,ISO/IEC 22989:2022,2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
DeploymentStage,Deployment Stage,"The stage in the lifecycle where the AI system is installed, released or configured for deployment and operation in a target environment",,ai:LifecycleStage,,,,,ISO/IEC 22989:2022,2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
OperationStage,Operation Stage,The stage in the lifecycle where an AI system is running and generally available for operations,,ai:LifecycleStage,,,,,ISO/IEC 22989:2022,2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
IncidentMonitoringStage,Incident Monitoring Stage,The stage in the lifecycle where an AI system is actively being monitored for incidents,ai:OperationStage,ai:LifecycleStage,,,,,ISO/IEC 22989:2022,2024-12-01,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,,,
RepairStage,Repair Stage,The stage in the lifecycle where an AI system is being repaired due to suspected or occurred incidents,ai:OperationStage,ai:LifecycleStage,,,,,ISO/IEC 22989:2022,2024-12-01,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,,,
UpdateStage,Update Stage,The stage in the lifecycle where an AI system is being or has been updated,ai:OperationStage,ai:LifecycleStage,,,,,ISO/IEC 22989:2022,2024-12-01,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,,,
ContinuousValidationStage,Continuous Validation Stage,The stage in the lifecycle where there is continuous learning within the AI system by incremental training on an ongoing basis while the system is running in production,,ai:LifecycleStage,,,,,ISO/IEC 22989:2022,2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
ReevaluationStage,Reevaluation Stage,The stage in the lifecycle where the AI system is reevaluated after the operation and monitoring stage based on the operations of the AI system,,ai:LifecycleStage,,,,,ISO/IEC 22989:2022,2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
RetirementStage,Retirement Stage,The stage in the lifecycle where the AI system is retired and becomes obsolete,,ai:LifecycleStage,,,,,ISO/IEC 22989:2022,2024-12-01,,accepted,Delaram Golpayegani,,,,,,,,,,,,,,,,,,
DecomissionStage,Decommission Stage,The stage in the lifecycle where the AI system is being decommissioned as part of retirement,ai:RetirementStage,ai:LifecycleStage,,,,,ISO/IEC 22989:2022,2024-12-01,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,,,
DiscardStage,Discard Stage,The stage in the lifecycle where the AI system is being discarded as part of retirement,ai:RetirementStage,ai:LifecycleStage,,,,,ISO/IEC 22989:2022,2024-12-01,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,,,
ReplaceStage,Replace Stage,The stage in the lifecycle where the AI system is being replaced as part of retirement,ai:RetirementStage,ai:LifecycleStage,,,,,ISO/IEC 22989:2022,2024-12-01,,accepted,Harshvardhan J. Pandit,,,,,,,,,,,,,,,,,,
add note to AI extension that we want to align this with ISO 15288 in TECH,,,,,,,,,,,,,,
